"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US01949","ZCTA5 01949","9779",
"860Z200US01950","ZCTA5 01950","18289",
"860Z200US01951","ZCTA5 01951","3582",
"860Z200US01952","ZCTA5 01952","9236",
"860Z200US01960","ZCTA5 01960","54155",
"860Z200US01965","ZCTA5 01965","329",
"860Z200US01966","ZCTA5 01966","6992",
"860Z200US01969","ZCTA5 01969","6161",
"860Z200US01970","ZCTA5 01970","44451",
"860Z200US01982","ZCTA5 01982","7618",
"860Z200US01983","ZCTA5 01983","6569",
"860Z200US01984","ZCTA5 01984","4979",
"860Z200US01985","ZCTA5 01985","4500",
"860Z200US02019","ZCTA5 02019","16945",
"860Z200US02021","ZCTA5 02021","24370",
"860Z200US02025","ZCTA5 02025","8381",
"860Z200US02026","ZCTA5 02026","25364",
"860Z200US02030","ZCTA5 02030","5923",
"860Z200US02032","ZCTA5 02032","4853",
"860Z200US02035","ZCTA5 02035","18618",
"860Z200US02038","ZCTA5 02038","33261",
"860Z200US02043","ZCTA5 02043","24272",
"860Z200US02045","ZCTA5 02045","10072",
"860Z200US02047","ZCTA5 02047","371",
"860Z200US02048","ZCTA5 02048","23860",
"860Z200US02050","ZCTA5 02050","25956",
"860Z200US02052","ZCTA5 02052","12799",
"860Z200US02053","ZCTA5 02053","13115",
"860Z200US02054","ZCTA5 02054","8460",
"860Z200US02056","ZCTA5 02056","11662",
"860Z200US02061","ZCTA5 02061","11351",
"860Z200US02062","ZCTA5 02062","31611",
"860Z200US02066","ZCTA5 02066","18561",
"860Z200US02067","ZCTA5 02067","18553",
"860Z200US02071","ZCTA5 02071","968",
"860Z200US02072","ZCTA5 02072","29281",
"860Z200US02081","ZCTA5 02081","20584",
"860Z200US02090","ZCTA5 02090","16266",
"860Z200US02093","ZCTA5 02093","12178",
"860Z200US02108","ZCTA5 02108","4228",
"860Z200US02109","ZCTA5 02109","3921",
"860Z200US02110","ZCTA5 02110","2921",
"860Z200US02111","ZCTA5 02111","9716",
"860Z200US02113","ZCTA5 02113","7126",
"860Z200US02114","ZCTA5 02114","14469",
"860Z200US02115","ZCTA5 02115","31604",
"860Z200US02116","ZCTA5 02116","23408",
"860Z200US02118","ZCTA5 02118","29073",
"860Z200US02119","ZCTA5 02119","29175",
"860Z200US02120","ZCTA5 02120","17578",
"860Z200US02121","ZCTA5 02121","28766",
"860Z200US02122","ZCTA5 02122","24385",
"860Z200US02124","ZCTA5 02124","50972",
"860Z200US02125","ZCTA5 02125","34926",
"860Z200US02126","ZCTA5 02126","22734",
"860Z200US02127","ZCTA5 02127","37939",
"860Z200US02128","ZCTA5 02128","43066",
"860Z200US02129","ZCTA5 02129","19120",
"860Z200US02130","ZCTA5 02130","38284",
"860Z200US02131","ZCTA5 02131","30544",
"860Z200US02132","ZCTA5 02132","27111",
"860Z200US02133","ZCTA5 02133","56",
"860Z200US02134","ZCTA5 02134","21707",
"860Z200US02135","ZCTA5 02135","47232",
"860Z200US02136","ZCTA5 02136","35102",
"860Z200US02138","ZCTA5 02138","37982",
"860Z200US02139","ZCTA5 02139","39525",
"860Z200US02140","ZCTA5 02140","21447",
"860Z200US02141","ZCTA5 02141","15130",
"860Z200US02142","ZCTA5 02142","4499",
"860Z200US02143","ZCTA5 02143","26022",
"860Z200US02144","ZCTA5 02144","25497",
"860Z200US02145","ZCTA5 02145","27520",
"860Z200US02148","ZCTA5 02148","66274",
"860Z200US02149","ZCTA5 02149","49075",
"860Z200US02150","ZCTA5 02150","40721",
"860Z200US02151","ZCTA5 02151","62252",
"860Z200US02152","ZCTA5 02152","19316",
"860Z200US02155","ZCTA5 02155","61483",
"860Z200US02163","ZCTA5 02163","1391",
"860Z200US02169","ZCTA5 02169","62140",
"860Z200US02170","ZCTA5 02170","19950",
"860Z200US02171","ZCTA5 02171","19539",
