"GEO_ID","NAME","H1_001N",
"Geography","Geographic Area Name"," !!Total",
"860Z200US01852","ZCTA5 01852","15466",
"860Z200US01854","ZCTA5 01854","10735",
"860Z200US01860","ZCTA5 01860","2761",
"860Z200US01862","ZCTA5 01862","4250",
"860Z200US01863","ZCTA5 01863","4032",
"860Z200US01864","ZCTA5 01864","5875",
"860Z200US01867","ZCTA5 01867","9954",
"860Z200US01876","ZCTA5 01876","11990",
"860Z200US01879","ZCTA5 01879","4665",
"860Z200US01880","ZCTA5 01880","11299",
"860Z200US01886","ZCTA5 01886","9234",
"860Z200US01887","ZCTA5 01887","8320",
"860Z200US01890","ZCTA5 01890","8135",
"860Z200US01901","ZCTA5 01901","1471",
"860Z200US01902","ZCTA5 01902","18621",
"860Z200US01904","ZCTA5 01904","7184",
"860Z200US01905","ZCTA5 01905","9496",
"860Z200US01906","ZCTA5 01906","11303",
"860Z200US01907","ZCTA5 01907","6375",
"860Z200US01908","ZCTA5 01908","1680",
"860Z200US01913","ZCTA5 01913","7889",
"860Z200US01915","ZCTA5 01915","17742",
"860Z200US01921","ZCTA5 01921","2838",
"860Z200US01922","ZCTA5 01922","1162",
"860Z200US01923","ZCTA5 01923","11763",
"860Z200US01929","ZCTA5 01929","1629",
"860Z200US01930","ZCTA5 01930","15133",
"860Z200US01937","ZCTA5 01937","0",
"860Z200US01938","ZCTA5 01938","6476",
"860Z200US01940","ZCTA5 01940","4977",
"860Z200US01944","ZCTA5 01944","2433",
"860Z200US01945","ZCTA5 01945","8978",
"860Z200US01949","ZCTA5 01949","3359",
"860Z200US01950","ZCTA5 01950","8615",
"860Z200US01951","ZCTA5 01951","1910",
"860Z200US01952","ZCTA5 01952","5305",
"860Z200US01960","ZCTA5 01960","22987",
"860Z200US01965","ZCTA5 01965","145",
"860Z200US01966","ZCTA5 01966","4380",
"860Z200US01969","ZCTA5 01969","2405",
"860Z200US01970","ZCTA5 01970","20333",
"860Z200US01982","ZCTA5 01982","2958",
"860Z200US01983","ZCTA5 01983","2358",
"860Z200US01984","ZCTA5 01984","1460",
"860Z200US01985","ZCTA5 01985","1740",
"860Z200US02019","ZCTA5 02019","6749",
"860Z200US02021","ZCTA5 02021","9930",
"860Z200US02025","ZCTA5 02025","3341",
"860Z200US02026","ZCTA5 02026","10459",
"860Z200US02030","ZCTA5 02030","2046",
"860Z200US02032","ZCTA5 02032","1849",
"860Z200US02035","ZCTA5 02035","7682",
"860Z200US02038","ZCTA5 02038","12551",
"860Z200US02043","ZCTA5 02043","9929",
"860Z200US02045","ZCTA5 02045","5856",
"860Z200US02047","ZCTA5 02047","419",
"860Z200US02048","ZCTA5 02048","9282",
"860Z200US02050","ZCTA5 02050","11718",
"860Z200US02052","ZCTA5 02052","4450",
"860Z200US02053","ZCTA5 02053","4826",
"860Z200US02054","ZCTA5 02054","3412",
"860Z200US02056","ZCTA5 02056","3601",
"860Z200US02061","ZCTA5 02061","3805",
"860Z200US02062","ZCTA5 02062","13634",
"860Z200US02066","ZCTA5 02066","7698",
"860Z200US02067","ZCTA5 02067","6542",
"860Z200US02071","ZCTA5 02071","323",
"860Z200US02072","ZCTA5 02072","11739",
"860Z200US02081","ZCTA5 02081","7909",
"860Z200US02090","ZCTA5 02090","5801",
"860Z200US02093","ZCTA5 02093","4620",
"860Z200US02108","ZCTA5 02108","2321",
"860Z200US02109","ZCTA5 02109","2639",
"860Z200US02110","ZCTA5 02110","1754",
"860Z200US02111","ZCTA5 02111","4827",
"860Z200US02113","ZCTA5 02113","4598",
"860Z200US02114","ZCTA5 02114","9805",
"860Z200US02115","ZCTA5 02115","11448",
"860Z200US02116","ZCTA5 02116","13392",
"860Z200US02118","ZCTA5 02118","15080",
"860Z200US02119","ZCTA5 02119","12446",
"860Z200US02120","ZCTA5 02120","6239",
"860Z200US02121","ZCTA5 02121","10934",
"860Z200US02122","ZCTA5 02122","9529",
"860Z200US02124","ZCTA5 02124","19601",
"860Z200US02125","ZCTA5 02125","14650",
"860Z200US02126","ZCTA5 02126","8855",
"860Z200US02127","ZCTA5 02127","19147",
"860Z200US02128","ZCTA5 02128","18016",
"860Z200US02129","ZCTA5 02129","9525",
"860Z200US02130","ZCTA5 02130","17829",
"860Z200US02131","ZCTA5 02131","12627",
"860Z200US02132","ZCTA5 02132","11818",
"860Z200US02133","ZCTA5 02133","28",
"860Z200US02134","ZCTA5 02134","10262",
"860Z200US02135","ZCTA5 02135","22730",
"860Z200US02136","ZCTA5 02136","13513",
"860Z200US02138","ZCTA5 02138","16342",
"860Z200US02139","ZCTA5 02139","16592",
"860Z200US02140","ZCTA5 02140","10612",
"860Z200US02141","ZCTA5 02141","7873",
"860Z200US02142","ZCTA5 02142","2581",
"860Z200US02143","ZCTA5 02143","12345",
"860Z200US02144","ZCTA5 02144","11805",
