CITY_NAME,Population,Violent crime,Murder and nonnegligent manslaughter,Rape1,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson2
Durham Town,2659.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
East Aurora-Aurora Town,13785.0,2.0,0.0,0.0,1.0,1.0,67.0,10.0,52.0,5.0,0.0
Eastchester Town,20073.0,3.0,0.0,0.0,2.0,1.0,67.0,8.0,52.0,7.0,0.0
East Greenbush Town,16324.0,10.0,0.0,1.0,2.0,7.0,400.0,37.0,358.0,5.0,0.0
East Rochester Village,6522.0,6.0,0.0,0.0,1.0,5.0,69.0,18.0,47.0,4.0,0.0
Eden Town,7621.0,2.0,0.0,1.0,0.0,1.0,36.0,8.0,25.0,3.0,0.0
Ellenville Village,3980.0,9.0,0.0,0.0,1.0,8.0,50.0,4.0,44.0,2.0,0.0
Ellicott Town,5014.0,13.0,0.0,2.0,2.0,9.0,241.0,30.0,210.0,1.0,0.0
Ellicottville,1575.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7.0,0.0,0.0
Elmira,26958.0,83.0,1.0,0.0,40.0,42.0,831.0,172.0,643.0,16.0,0.0
Elmira Heights Village,3819.0,4.0,0.0,0.0,1.0,3.0,73.0,13.0,58.0,2.0,0.0
Elmira Town,5589.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
Elmsford Village,5295.0,3.0,0.0,0.0,1.0,2.0,11.0,3.0,8.0,0.0,0.0
Evans Town,16118.0,20.0,0.0,6.0,4.0,10.0,171.0,8.0,154.0,9.0,1.0
Fairport Village,5334.0,2.0,0.0,0.0,1.0,1.0,24.0,1.0,22.0,1.0,0.0
Fishkill Town,21307.0,8.0,0.0,0.0,2.0,6.0,190.0,5.0,184.0,1.0,
Fishkill Village,2071.0,1.0,0.0,0.0,0.0,1.0,20.0,1.0,19.0,0.0,0.0
Floral Park Village,15927.0,8.0,0.0,0.0,4.0,4.0,26.0,2.0,22.0,2.0,0.0
Florida Village,2851.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0
Fort Edward Village,3253.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0
Fort Plain Village,2224.0,9.0,0.0,4.0,0.0,5.0,53.0,7.0,46.0,0.0,0.0
Frankfort Town,4817.0,3.0,0.0,1.0,0.0,2.0,20.0,3.0,16.0,1.0,1.0
Frankfort Village,2432.0,6.0,0.0,1.0,0.0,5.0,12.0,1.0,9.0,2.0,0.0
Franklinville Village,1632.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
